what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110913-1156,"org.eclipse.emf.edit.ui",1525597597465
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1525597597485
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1525597597495
started,bundle,org.eclipse.jst.j2ee.web,1.1.501.v201108231500,"org.eclipse.jst.j2ee.web",1525597597515
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1525597597515
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1525597597535
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1525597597555
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1525597597565
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1525597597575
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1525597597585
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1525597597595
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1525597597615
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1525597597645
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1525597597645
os,sysinfo,,,"win32",1525597597655
arch,sysinfo,,,"x86",1525597597655
ws,sysinfo,,,"win32",1525597597655
locale,sysinfo,,,"zh_CN",1525597597655
processors,sysinfo,,,"4",1525597597655
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1525597597655
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1525597597655
java.specification.name,sysinfo,,,"Java Platform API Specification",1525597597655
java.specification.vendor,sysinfo,,,"Oracle Corporation",1525597597655
java.specification.version,sysinfo,,,"1.7",1525597597655
java.vendor,sysinfo,,,"Oracle Corporation",1525597597655
java.version,sysinfo,,,"1.7.0_13",1525597597655
java.vm.info,sysinfo,,,"mixed mode",1525597597655
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1525597597655
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1525597597655
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1525597597655
java.vm.specification.version,sysinfo,,,"1.7",1525597597655
java.vm.vendor,sysinfo,,,"Oracle Corporation",1525597597655
java.vm.version,sysinfo,,,"23.7-b01",1525597597655
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1525597597675
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525597597955
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1525597598585
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1525597599075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525597599755
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1525597599815
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1525597599895
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1525597599905
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1525597600075
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1525597602366
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1525597603486
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1525597603686
